country,calories,protein,fat,vitaminA,calcium,iron,zinc,thiamin,riboflavin,niacin,b6,magnesium,polyunsatFA
Albania,3188.0968,94.2687,87.0786,798.7169,1318.1609,28.2539,10.8684,1.5429,2.5168,15.7134,2.1212,371.9506,12.9762
Algeria,3233.9709,83.9557,70.154,495.2772,545.1139,15.0781,9.7727,1.571,1.3434,18.0331,1.8527,394.3954,21.7676
Angola,2777.526,57.2553,64.1243,968.9086,466.4335,16.9219,9.8194,1.6591,1.2269,20.1632,2.8911,489.004,16.1764
Antigua and Barbuda,2024.0261,75.8889,60.0783,531.9453,553.2766,23.1234,15.0192,2.0929,1.8654,27.8999,1.695,233.3118,17.4025
Argentina,2941.361,100.9762,97.6135,1339.7743,1122.7275,31.4478,18.1096,3.0483,2.1881,24.3762,1.763,240.4225,29.8113
Australia,3711.4232,109.459,186.4301,927.3746,1251.4122,15.1721,14.5842,2.4439,2.5879,23.0656,2.1712,376.6984,30.1211
Bahamas,2450.8285,63.1661,95.7999,476.1618,321.3883,13.7981,7.8604,1.7628,1.4151,23.0604,1.8303,235.8513,16.4049
Bangladesh,2368.308,55.3022,32.0261,168.4932,299.6337,13.817,5.3506,1.4359,0.78305,18.6761,1.5336,261.9291,7.2868
Barbados,2939.5759,75.932,106.2332,391.1581,332.1154,17.7701,9.0119,2.2004,1.6624,27.0627,1.8606,311.7143,27.462
Belgium,4269.2188,101.8597,198.1645,1931.2502,1148.9529,15.542,12.334,1.7688,2.0665,22.1378,2.4818,386.6842,33.0345
Belize,2579.8887,68.9232,65.1692,375.2132,445.2954,29.5915,13.2048,2.4586,1.7244,25.9309,1.8286,361.7647,16.1639
Benin,2830.891,64.5148,54.9199,709.7672,433.2572,22.1524,12.8966,2.5888,1.058,18.8511,3.1428,565.3241,15.4697
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia (Plurinational State of),2220.802,70.5079,50.7301,618.655,428.0549,28.1563,12.3114,2.0117,1.6413,23.5109,1.6826,264.9186,14.7947
Bosnia and Herzegovina,3042.3864,79.1284,70.712,1121.694,782.6831,14.8157,9.5784,1.4316,1.66,20.1972,2.5579,391.7227,16.2629
Brazil,3186.4739,98.2038,107.0934,879.9547,856.4487,35.0344,16.7447,1.911,1.6662,22.7997,2.0573,373.5667,31.7616
Brunei Darussalam,2772.915,73.0483,78.6926,284.5088,319.4117,13.4952,7.7831,1.1206,1.1254,20.1071,1.641,267.3155,15.546
Bulgaria,3099.4341,78.2731,105.706,490.601,668.6075,11.5691,8.3085,1.3047,1.5041,16.7849,1.5322,279.6552,23.7549
Cabo Verde,2563.9403,68.5958,76.18,482.5866,490.0618,23.3761,11.1121,1.7094,1.3141,17.8717,2.2359,438.9289,18.2607
Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,2638.181,67.6233,54.4037,1052.83,395.8773,22.9265,14.3752,1.9893,1.0665,20.5116,2.8257,646.0326,14.0986
Canada,3875.4742,98.223,184.7462,944.6656,965.1274,22.8181,12.872,2.725,2.7132,29.8474,2.3644,398.8727,35.6883
Chile,2786.9465,90.0295,75.8071,641.4244,708.8422,31.4028,15.9104,3.2078,1.9773,24.9884,1.7151,274.0586,18.9682
China,2756.6277,89.8205,76.9792,1593.013,687.1138,31.1768,16.1885,1.6771,1.5853,25.3626,2.7168,428.7836,17.548
Colombia,2621.6388,64.1399,75.7796,2151.2435,662.2982,25.9222,11.3612,1.7525,1.7342,20.1159,1.6419,250.5021,17.4809
Congo,2318.3875,53.6182,46.4887,1204.6758,383.5516,17.9486,7.8602,1.0629,0.85645,18.4973,1.8311,367.0606,8.3377
Costa Rica,2959.814,79.5574,94.0165,4272.2312,985.5068,29.9328,14.577,2.8964,2.2955,28.6293,1.7563,349.4927,20.0279
Croatia,3186.6077,78.6068,118.5219,562.0531,835.0259,10.8979,8.8853,1.4191,1.8243,15.2161,1.7064,292.3455,22.1113
Cote d'Ivoire,2941.6208,61.5387,57.9588,1820.3713,365.9496,21.4773,13.4469,2.4718,1.1491,19.1592,3.4116,515.8808,10.7054
Cuba,3039.603,82.5926,53.8979,1041.2889,715.7912,38.3092,14.1496,2.1586,1.5853,22.2623,2.3434,414.8197,17.2826
Cyprus,2701.604,75.0975,125.9869,472.1481,655.7096,11.0419,8.9721,1.3265,1.6005,16.386,1.5165,278.9988,26.8079
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,4252.7703,130.4213,179.7357,1486.0662,2122.3866,16.5452,17.293,1.8035,2.9063,22.263,2.4601,540.1852,22.879
Djibouti,2431.516,57.7924,54.8275,1422.2855,242.3903,30.9142,19.1589,1.4755,0.82941,11.9892,1.4615,339.3013,11.1227
Dominica,2530.9062,75.6218,64.7708,755.9732,817.2589,31.1047,9.9362,2.7137,2.0203,27.9371,2.4005,392.3055,10.1886
Dominican Republic,2493.199,60.6523,90.336,2468.8125,462.2288,23.1526,10.2499,1.8132,1.4711,21.3745,1.8904,295.1208,22.846
